work_order_id,site_id,site_name,site_type,region,priority,recommended_action,estimated_cost_usd,estimated_downtime_prevented_hours,numeric_risk_score,numeric_risk_level,vision_findings_level,n_defects_detected,image_file,site_coastal_exposure,site_age_years,merged_assessment,numeric_interpretation,vision_interpretation,agent_trace,generated_at
WO-SITE0001-202607301728,SITE0001,Jawa Tengah - Bukittinggi,Microcell Pole,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.992963193653088e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-47-_jpeg.rf.54411d52d859269f0aeba0b159402755.jpg,Low,7.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:7.0(+0.2) Failures:0(+0.0) Score:0.20,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0001', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.20', '[decision] LOW']",2026-07-30T17:28:19.911705Z
WO-SITE0002-202607301728,SITE0002,Sulawesi Selatan - Sungai Penuh,BTS Tower,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,8.768365765171277e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-50-_jpeg.rf.22a2f1df5ce140ed99dfb0fcfaa08854.jpg,Low,11.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:11.0(+0.6) Failures:0(+0.0) Score:0.60,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0002', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.60', '[decision] LOW']",2026-07-30T17:28:19.921848Z
WO-SITE0003-202607301728,SITE0003,Jawa Barat - Batu,Outdoor Cabinet,Jawa Barat,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.51761396969058e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-73-_jpeg.rf.4adbd108154e730997f3ad4d869534f9.jpg,High,6.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:High(+0.5) Age:6.0(+0.1) Failures:0(+0.0) Score:0.60,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0003', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.60', '[decision] LOW']",2026-07-30T17:28:19.930084Z
WO-SITE0004-202607301728,SITE0004,Jawa Barat - Mataram,Outdoor Cabinet,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.685518187616397e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-25-_jpeg.rf.033154fd3786820efd5926f487a9343c.jpg,Low,3.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:3.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0004', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:19.937963Z
WO-SITE0005-202607301728,SITE0005,Jawa Timur - Pekalongan,BTS Tower,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.290935638549241e-05,NORMAL,MEDIUM,4,corrosion_detection-unzub_A-nut-and-bolt-assembly-showing-crevice-corrosion-in-cold-rolled-threads--The-corrosion-products-are-accumulated-at-the-junction-of-the-nut-and-the-bolt-_jpg.rf.c82da7970ad2b7cd9970c376d4e4677c.jpg,Medium,12.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Medium(+0.2) Age:12.0(+0.7) Failures:0(+0.0) Score:0.90,Risk=0.000 NORMAL.,4 corrosion regions.,"['[collect] SITE0005', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.90', '[decision] LOW']",2026-07-30T17:28:19.945695Z
WO-SITE0006-202607301728,SITE0006,Jawa Barat - Bandung,Indoor BTS Room,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.9306142720175675e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-47-_jpeg.rf.dccd9d4ade5a2e44a165fe17404f37ef.jpg,Low,4.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:4.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0006', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:19.952998Z
WO-SITE0007-202607301728,SITE0007,Jawa Timur - Palangkaraya,Indoor BTS Room,Jawa Barat,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.2251930435044417e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-75-_jpeg.rf.1e3a270a09aec4b3ad29acaa668d6e6f.jpg,High,2.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:High(+0.5) Age:2.0(+0.0) Failures:0(+0.0) Score:0.50,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0007', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.50', '[decision] LOW']",2026-07-30T17:28:19.960718Z
WO-SITE0008-202607301728,SITE0008,Jabodetabek - Batam,Outdoor Cabinet,Bali-Nusra,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.304819227199288e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-73-_jpeg.rf.28c623a95560ea952d082be9ec57d8fb.jpg,Low,3.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:3.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0008', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:19.966664Z
WO-SITE0009-202607301728,SITE0009,Bali-Nusra - Bekasi,Microcell Pole,Sulawesi Selatan,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,6.652819871930342e-06,NORMAL,CRITICAL,12,corrosion_detection-unzub_corrosion-metal-rusty-bollard-abandoned-pier-221587764_jpg.rf.48e2bea4f6265d10e4709a63e54689c8.jpg,Medium,7.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:7.0(+0.2) Failures:0(+0.0) Score:3.40,Risk=0.000 NORMAL.,"12 defects, high-confidence crack.","['[collect] SITE0009', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.40', '[decision] HIGH']",2026-07-30T17:28:19.972474Z
WO-SITE0010-202607301728,SITE0010,Jawa Barat - Banjarmasin,Indoor BTS Room,Bali-Nusra,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.81427192238513e-05,NORMAL,CRITICAL,4,corrosion_detection-unzub_main-qimg-dd1c9e2f7bbbaf14ab142360f5cb6b03-lq_jpg.rf.7d0aacc51e1788988bd7808e382a3751.jpg,Low,9.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:9.0(+0.4) Failures:1(+0.5) Score:3.90,Risk=0.000 NORMAL.,"4 defects, high-confidence crack.","['[collect] SITE0010', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.90', '[decision] HIGH']",2026-07-30T17:28:19.978152Z
